"","Amnt_hunting_fac","Education_fac","Gender","Years_Hunted"
"708","Decreased","College_Degree","Male",15
"709","Stayed about the same","High_School","Male",25
"710","Decreased","High_School","Male",50
"711","Increased","Advanced_Degree","Male",15
"712","Stayed about the same","College_Degree","Female",12
"713","Decreased","College_Degree","Male",5
"714","Stayed about the same","College_Degree","Male",99
"715","Increased","High_School","Male",4
"716","Decreased","College_Degree","Male",30
"717","Increased","Advanced_Degree","Male",30
"718","Decreased","High_School","Male",45
"719","Increased","College_Degree","Male",1
"720","Stayed about the same","Advanced_Degree","Male",10
"721","Decreased","High_School","Female",40
"722","Increased","High_School","Male",10
"723","Stayed about the same","College_Degree","Male",10
"724","Decreased","Advanced_Degree","Male",20
"725","Stayed about the same","High_School","Male",36
"726","Stayed about the same","College_Degree","Male",28
"727","Increased","High_School","Male",6
"728","Stayed about the same","High_School","Male",28
"729","Increased","High_School","Male",6
"730","Stayed about the same","College_Degree","Male",56
"731","Increased","College_Degree","Male",46
"732","Stayed about the same","College_Degree","Male",52
"733","Stayed about the same","High_School","Male",10
"734","Stayed about the same","College_Degree","Male",8
"735","Stayed about the same","College_Degree","Male",30
"736","Stayed about the same","High_School","Male",37
"737","Decreased","College_Degree","Male",25
"738","Increased","College_Degree","Male",12
"739","Increased","High_School","Male",6
"740","Increased","High_School","Male",12
"741","Decreased","College_Degree","Male",50
"742","Increased","Advanced_Degree","Male",17
"743","Stayed about the same","High_School","Male",50
"744","Increased","College_Degree","Male",4
"745","Increased","College_Degree","Male",4
"746","Increased","College_Degree","Male",4
"747","Increased","College_Degree","Male",43
"748","Increased","College_Degree","Male",50
"749","Decreased","High_School","Male",22
"750","Stayed about the same","High_School","Male",12
"751","Stayed about the same","Advanced_Degree","Male",3
"752","Increased","College_Degree","Male",20
"753","Stayed about the same","High_School","Male",38
"754","Decreased","High_School","Male",25
"755","Increased","College_Degree","Male",18
"756","Stayed about the same","College_Degree","Male",6
"757","Decreased","High_School","Male",50
"758","Stayed about the same","College_Degree","Male",25
"759","Decreased","High_School","Male",25
"760","Decreased","College_Degree","Male",46
"761","Decreased","College_Degree","Male",51
"762","Decreased","Advanced_Degree","Male",50
"763","Increased","College_Degree","Male",10
"764","Stayed about the same","Advanced_Degree","Male",21
"765","Decreased","College_Degree","Male",5
"766","Decreased","Advanced_Degree","Female",45
"767","Stayed about the same","High_School","Male",6
"768","Stayed about the same","College_Degree","Male",52
"769","Increased","College_Degree","Male",45
"770","Decreased","College_Degree","Male",12
"771","Increased","College_Degree","Male",5
"772","Increased","Advanced_Degree","Male",35
"773","Decreased","High_School","Male",50
"774","Stayed about the same","College_Degree","Male",20
"775","Stayed about the same","College_Degree","Male",33
"776","Increased","College_Degree","Male",37
"777","Increased","College_Degree","Male",30
"778","Stayed about the same","College_Degree","Male",2
"779","Stayed about the same","College_Degree","Male",48
"780","Decreased","High_School","Male",37
"781","Increased","College_Degree","Male",35
"782","Stayed about the same","High_School","Male",43
"783","Decreased","High_School","Male",55
"784","Increased","College_Degree","Male",10
"785","Decreased","High_School","Female",3
"786","Stayed about the same","College_Degree","Male",3
"787","Decreased","High_School","Male",30
"788","Increased","College_Degree","Male",25
"789","Decreased","Advanced_Degree","Male",10
"790","Stayed about the same","College_Degree","Male",38
"791","Stayed about the same","Advanced_Degree","Male",16
"792","Stayed about the same","High_School","Male",40
"793","Stayed about the same","High_School","Male",18
"794","Increased","High_School","Male",15
"795","Stayed about the same","College_Degree","Male",10
"796","Decreased","High_School","Male",43
"797","Increased","High_School","Male",18
"798","Stayed about the same","College_Degree","Male",20
"799","Decreased","High_School","Male",55
"800","Increased","College_Degree","Male",19
"801","Stayed about the same","High_School","Male",32
"802","Stayed about the same","College_Degree","Male",40
"803","Increased","College_Degree","Male",50
"804","Decreased","High_School","Male",40
"805","Decreased","High_School","Male",32
"806","Stayed about the same","High_School","Male",40
"807","Decreased","High_School","Male",55
"808","Stayed about the same","College_Degree","Male",28
"809","Stayed about the same","College_Degree","Male",2
"810","Increased","Advanced_Degree","Male",8
"811","Increased","Advanced_Degree","Male",20
"812","Increased","High_School","Male",45
"813","Decreased","College_Degree","Male",9
"814","Stayed about the same","College_Degree","Male",20
"815","Stayed about the same","High_School","Male",44
"816","Decreased","Advanced_Degree","Male",40
"817","Decreased","High_School","Male",6
"818","Stayed about the same","High_School","Male",5
"819","Increased","High_School","Male",46
"820","Stayed about the same","College_Degree","Male",10
"821","Decreased","High_School","Male",50
"822","Stayed about the same","High_School","Male",35
"823","Stayed about the same","High_School","Male",3
"824","Increased","High_School","Male",10
"825","Stayed about the same","High_School","Male",20
"826","Stayed about the same","High_School","Male",31
"827","Decreased","College_Degree","Male",60
"828","Stayed about the same","College_Degree","Male",6
"829","Stayed about the same","High_School","Male",22
"830","Stayed about the same","High_School","Male",41
"831","Stayed about the same","College_Degree","Male",4
"832","Decreased","High_School","Male",40
"833","Increased","Advanced_Degree","Male",30
"834","Stayed about the same","High_School","Male",20
"835","Stayed about the same","High_School","Male",35
"836","Stayed about the same","College_Degree","Male",5
"837","Decreased","Advanced_Degree","Male",20
"838","Decreased","High_School","Male",50
"839","Stayed about the same","High_School","Male",10
"840","Stayed about the same","College_Degree","Male",5
"841","Stayed about the same","College_Degree","Male",1
"842","Decreased","College_Degree","Male",37
"843","Decreased","High_School","Male",1
"844","Decreased","High_School","Male",27
"845","Decreased","Advanced_Degree","Male",10
"846","Increased","High_School","Male",40
"847","Stayed about the same","High_School","Male",50
"848","Decreased","College_Degree","Male",40
"849","Decreased","Advanced_Degree","Male",7
"850","Stayed about the same","College_Degree","Male",34
"851","Stayed about the same","College_Degree","Male",6
"852","Decreased","High_School","Male",20
"853","Decreased","High_School","Male",47
"854","Decreased","High_School","Male",13
"855","Stayed about the same","High_School","Male",30
"856","Stayed about the same","High_School","Male",1
"857","Stayed about the same","High_School","Male",23
"858","Stayed about the same","College_Degree","Male",8
"859","Increased","High_School","Male",35
"860","Stayed about the same","High_School","Male",99
"861","Stayed about the same","High_School","Male",3
"862","Increased","College_Degree","Male",10
"863","Decreased","Advanced_Degree","Male",5
"864","Increased","High_School","Male",4
"865","Stayed about the same","High_School","Male",4
"866","Increased","College_Degree","Male",2
"867","Increased","Advanced_Degree","Male",16
"868","Stayed about the same","High_School","Male",35
"869","Stayed about the same","High_School","Male",60
"870","Stayed about the same","High_School","Male",45
"871","Stayed about the same","College_Degree","Male",30
"872","Stayed about the same","High_School","Male",30
"873","Stayed about the same","College_Degree","Male",33
"874","Stayed about the same","Advanced_Degree","Male",28
"875","Decreased","High_School","Male",30
"876","Stayed about the same","College_Degree","Male",21
"877","Decreased","College_Degree","Male",25
"878","Stayed about the same","College_Degree","Male",10
"879","Decreased","High_School","Male",45
"880","Stayed about the same","Advanced_Degree","Male",50
"881","Increased","High_School","Male",19
"882","Stayed about the same","College_Degree","Male",43
"883","Stayed about the same","High_School","Male",20
"884","Stayed about the same","High_School","Male",35
"885","Increased","College_Degree","Male",45
"886","Stayed about the same","College_Degree","Female",18
"887","Decreased","College_Degree","Male",35
"888","Decreased","High_School","Male",34
"889","Decreased",NA,"Male",50
"890","Stayed about the same","College_Degree","Male",45
"891","Stayed about the same","High_School","Male",51
"892","Increased","College_Degree","Male",4
"893","Decreased","High_School","Male",48
"894","Decreased","High_School","Male",30
"895","Decreased","High_School","Male",40
"896","Decreased","College_Degree","Male",10
"897","Decreased","High_School","Male",25
"898","Decreased","High_School","Male",30
"899","Stayed about the same","High_School","Male",45
"900","Increased","High_School","Male",35
"901","Decreased","High_School","Male",35
"902","Increased","High_School","Male",4
"903","Stayed about the same","High_School","Male",20
"904","Stayed about the same","College_Degree","Male",44
"905","Stayed about the same","High_School","Male",30
"906","Increased","College_Degree","Male",15
"907","Decreased","College_Degree","Male",50
"908","Stayed about the same","High_School","Male",2
"909","Stayed about the same","High_School","Male",28
"910","Stayed about the same","High_School","Male",60
"911","Stayed about the same","High_School","Male",40
"912","Decreased","College_Degree","Male",43
"913","Increased","Advanced_Degree","Male",2
"914","Decreased","High_School","Male",30
"915","Increased","High_School","Male",30
"916","Decreased","High_School","Female",3
"917","Decreased","College_Degree","Male",40
"918","Decreased","College_Degree","Male",45
"919","Decreased","College_Degree","Male",40
"920","Increased","High_School","Male",30
"921","Stayed about the same","College_Degree","Male",50
"922","Increased","High_School","Male",5
"923","Decreased","High_School","Male",50
"924","Decreased","High_School","Male",40
"925","Decreased","College_Degree","Male",25
"926","Increased","College_Degree","Male",20
"927","Stayed about the same","High_School","Male",1
"928","Stayed about the same","High_School","Male",4
"929","Stayed about the same","High_School","Male",4
"930","Stayed about the same","High_School","Female",1
"931","Decreased","Advanced_Degree","Male",16
"932","Stayed about the same","High_School","Male",4
"933","Decreased","College_Degree","Male",8
"934","Increased","High_School","Male",8
"935","Increased","College_Degree","Male",14
"936","Decreased","College_Degree","Male",8
"937","Stayed about the same","High_School","Male",30
"938","Decreased","College_Degree","Male",10
"939","Increased","College_Degree","Male",4
"940","Increased","College_Degree","Male",35
"941","Increased","Advanced_Degree","Male",25
"942","Increased","College_Degree","Male",8
"943","Increased","High_School","Male",5
"944","Increased","College_Degree","Male",4
"945","Stayed about the same","High_School","Male",22
"946","Stayed about the same","College_Degree","Male",15
"947","Stayed about the same","College_Degree","Male",35
"948","Decreased","High_School","Male",50
"949","Stayed about the same","College_Degree","Male",14
"950","Increased","High_School","Male",30
"951","Decreased","High_School","Male",50
"952","Decreased","High_School","Male",10
"953","Stayed about the same","High_School","Male",45
"954","Increased","College_Degree","Male",10
"955","Stayed about the same","Advanced_Degree","Male",30
"956","Stayed about the same","High_School","Male",45
"957","Decreased",NA,"Male",15
"958","Stayed about the same","High_School","Male",30
"959","Stayed about the same","College_Degree","Male",25
"960","Decreased","High_School","Male",45
"961","Stayed about the same","College_Degree","Female",10
"962","Stayed about the same","High_School","Female",2
"963","Decreased","High_School","Male",40
"964","Stayed about the same","High_School","Male",23
"965","Decreased","High_School","Male",50
"966","Stayed about the same","College_Degree","Male",15
"967","Stayed about the same","High_School","Male",8
"968","Decreased","High_School","Male",4
"969","Increased","College_Degree","Male",4
"970","Decreased","High_School","Male",63
"971","Stayed about the same","College_Degree","Male",40
"972","Stayed about the same","College_Degree","Male",14
"973","Decreased","College_Degree","Male",16
"974","Increased","Advanced_Degree","Male",12
"975","Increased","College_Degree","Male",30
"976","Decreased","High_School","Male",30
"977","Stayed about the same","College_Degree","Male",3
"978","Stayed about the same","High_School","Female",8
"979","Stayed about the same","College_Degree","Male",2
"980","Decreased","College_Degree","Male",19
"981","Stayed about the same","College_Degree","Male",20
"982","Increased","College_Degree","Male",15
"983","Increased","High_School","Male",5
"984","Increased","College_Degree","Male",2
"985","Stayed about the same","Advanced_Degree","Male",8
"986","Decreased","High_School","Male",30
"987","Increased","College_Degree","Male",2
"988","Increased","High_School","Male",13
"989","Increased","High_School","Male",2
"990","Decreased",NA,"Male",30
"991","Stayed about the same","High_School","Male",17
"992","Increased","High_School","Male",30
"993","Decreased","High_School","Male",35
"994","Stayed about the same","College_Degree","Male",20
"995","Decreased","High_School","Male",5
"996","Decreased","Advanced_Degree","Male",20
"997","Decreased","College_Degree","Male",20
"998","Decreased","High_School","Male",46
"999","Decreased","High_School","Male",40
"1000","Increased","High_School","Male",23
"1001","Decreased","College_Degree","Male",15
"1002","Increased","College_Degree","Male",40
"1003","Decreased","College_Degree","Male",40
"1004","Stayed about the same","College_Degree","Male",3
"1005","Stayed about the same","High_School","Male",23
"1006","Decreased","High_School","Male",14
"1007","Decreased",NA,"Male",10
"1008","Stayed about the same","Advanced_Degree","Male",20
"1009","Decreased","College_Degree","Male",5
"1010","Decreased","College_Degree","Male",20
"1011","Increased","High_School","Male",15
"1012","Stayed about the same",NA,"Male",19
"1013","Stayed about the same","High_School","Male",50
"1014","Stayed about the same","College_Degree","Male",6
"1015","Stayed about the same","High_School","Male",23
"1016","Stayed about the same","High_School","Male",28
"1017","Decreased","High_School","Male",40
"1018","Decreased","College_Degree","Male",2
"1019","Increased","High_School","Male",10
"1020","Stayed about the same","College_Degree","Male",5
"1021","Increased","High_School","Male",1
"1022","Decreased","College_Degree","Male",10
"1023","Stayed about the same","High_School","Male",10
"1024","Decreased","College_Degree","Male",3
"1025","Stayed about the same","College_Degree","Male",16
"1026","Increased","High_School","Male",22
"1027","Increased","College_Degree","Male",15
"1028","Increased","College_Degree","Male",3
"1029","Increased","College_Degree","Male",26
"1030","Decreased","Advanced_Degree","Male",34
"1031","Increased","High_School","Male",12
"1032","Decreased","Advanced_Degree","Male",8
"1033","Increased","Advanced_Degree","Male",35
"1034","Decreased","High_School","Male",8
"1035","Increased","High_School","Male",9
"1036","Decreased","College_Degree","Male",10
"1037","Increased","College_Degree","Male",25
"1038","Stayed about the same","High_School","Male",38
"1039","Decreased","College_Degree","Male",46
"1040","Stayed about the same","College_Degree","Male",40
"1041","Increased","College_Degree","Male",48
"1042","Stayed about the same","High_School","Male",20
"1043","Decreased","High_School","Male",30
"1044","Decreased","Advanced_Degree","Male",20
"1045","Increased","College_Degree","Male",20
"1046","Increased","High_School","Male",43
"1047","Decreased","College_Degree","Male",30
"1048","Stayed about the same","High_School","Male",30
"1049","Increased","High_School","Male",5
"1050","Stayed about the same","High_School","Male",40
"1051","Decreased","College_Degree","Male",45
"1052","Decreased","High_School","Male",35
"1053","Stayed about the same","High_School","Male",10
"1054","Stayed about the same","College_Degree","Male",28
"1055","Stayed about the same","High_School","Male",4
"1056","Increased","Advanced_Degree","Male",30
"1057","Decreased","High_School","Male",40
"1058","Stayed about the same","High_School","Male",35
"1059","Stayed about the same","High_School","Male",40
"1060","Decreased","High_School","Male",30
"1061","Decreased","Advanced_Degree","Male",25
"1062","Stayed about the same","Advanced_Degree","Male",48
"1063","Stayed about the same","High_School","Male",30
"1064","Decreased",NA,"Male",6
"1065","Decreased","High_School","Male",45
"1066","Stayed about the same","College_Degree","Male",35
"1067","Stayed about the same","College_Degree","Male",14
"1068","Decreased","College_Degree","Male",6
"1069","Increased","High_School","Male",43
"1070","Stayed about the same","High_School","Male",40
"1071","Decreased","Advanced_Degree","Male",5
"1072","Increased","High_School","Male",40
"1073","Increased","Advanced_Degree","Male",20
"1074","Stayed about the same","High_School","Male",49
"1075","Increased","High_School","Male",30
"1076","Decreased","College_Degree","Male",50
"1077","Stayed about the same","College_Degree","Male",40
"1078","Decreased","College_Degree","Male",30
"1079","Stayed about the same","High_School","Male",50
"1080","Decreased","High_School","Male",30
"1081","Stayed about the same","High_School","Male",25
"1082","Stayed about the same","High_School","Male",33
"1083","Stayed about the same","College_Degree","Male",40
"1084","Increased","High_School","Male",57
"1085","Stayed about the same","Advanced_Degree","Male",25
"1086","Stayed about the same","College_Degree","Female",2
"1087","Stayed about the same","High_School","Male",45
"1088","Stayed about the same","High_School","Male",10
"1089","Stayed about the same","College_Degree","Male",10
"1090","Decreased","College_Degree","Male",45
"1091","Increased","Advanced_Degree","Male",25
"1092","Stayed about the same","Advanced_Degree","Male",10
"1093","Stayed about the same","High_School","Male",25
"1094","Stayed about the same","College_Degree","Male",4
"1095","Decreased","High_School","Male",3
"1096","Increased","High_School","Male",40
"1097","Decreased","High_School","Male",43
"1098","Increased","High_School","Male",25
"1099","Stayed about the same","High_School","Male",15
"1100","Increased","High_School","Male",5
"1101","Decreased","Advanced_Degree","Male",25
"1102","Stayed about the same","Advanced_Degree","Male",1
"1103","Decreased","High_School","Male",20
"1104","Stayed about the same","College_Degree","Male",30
"1105","Stayed about the same","Advanced_Degree","Male",5
"1106","Stayed about the same","College_Degree","Male",6
"1107","Increased","College_Degree","Male",3
"1108","Stayed about the same","Advanced_Degree","Male",19
"1109","Stayed about the same","High_School","Male",15
"1110","Increased","College_Degree","Male",6
"1111","Stayed about the same","College_Degree","Male",12
"1112","Increased","College_Degree","Male",5
"1113","Decreased","High_School","Male",1
"1114","Decreased","High_School","Male",40
"1115","Increased","High_School","Female",8
"1116","Increased","College_Degree","Male",1
"1117","Increased","High_School","Female",2
"1118","Stayed about the same","High_School","Male",45
"1119","Stayed about the same","High_School","Male",14
"1120","Increased","High_School","Male",15
"1121","Stayed about the same","High_School","Male",44
"1122","Increased","High_School","Male",50
"1123","Decreased","Advanced_Degree","Male",50
"1124","Stayed about the same","High_School","Male",21
"1125","Increased","College_Degree","Male",35
"1126","Increased","College_Degree","Male",4
"1127","Stayed about the same","High_School","Male",50
"1128","Stayed about the same","High_School","Male",39
"1129","Increased","College_Degree","Male",36
"1130","Stayed about the same","Advanced_Degree","Male",47
"1131","Stayed about the same","Advanced_Degree","Male",32
"1132","Decreased","High_School","Male",40
"1133","Stayed about the same","High_School","Male",20
"1134","Increased","College_Degree","Male",39
"1135","Stayed about the same","High_School","Male",50
"1136","Stayed about the same","Advanced_Degree","Male",40
"1137","Decreased","College_Degree","Male",50
"1138","Decreased","High_School","Male",27
"1139","Increased","High_School","Male",55
"1140","Increased","College_Degree","Male",25
"1141","Stayed about the same","High_School","Male",25
"1142","Increased","High_School","Male",26
"1143","Stayed about the same","High_School","Male",16
"1144","Increased","Advanced_Degree","Male",1
"1145","Decreased","High_School","Male",41
"1146","Decreased","College_Degree","Male",13
"1147","Decreased","High_School","Male",3
"1148","Decreased","High_School","Male",65
"1149","Decreased","College_Degree","Male",23
"1150","Decreased","Advanced_Degree","Male",10
"1151","Stayed about the same","College_Degree","Male",39
"1152","Decreased","College_Degree","Male",40
"1153","Increased","High_School","Male",48
"1154","Stayed about the same","High_School","Male",6
"1155","Stayed about the same","High_School","Male",39
"1156","Increased","High_School","Male",5
"1157","Increased","College_Degree","Male",20
"1158","Stayed about the same","Advanced_Degree","Male",35
"1159","Stayed about the same","High_School","Male",5
"1160","Decreased","High_School","Male",15
"1161","Increased","College_Degree","Male",10
"1162","Stayed about the same","High_School","Male",10
"1163","Stayed about the same","College_Degree","Male",45
"1164","Decreased","High_School","Male",7
"1165","Decreased","High_School","Male",15
"1166","Stayed about the same","High_School","Male",19
"1167","Decreased","High_School","Male",17
"1168","Increased","High_School","Male",9
"1169","Stayed about the same","High_School","Male",50
"1170","Stayed about the same","High_School","Male",26
"1171","Stayed about the same","College_Degree","Male",4
"1172","Increased","Advanced_Degree","Male",15
"1173","Stayed about the same","College_Degree","Male",25
"1174","Decreased","High_School","Male",3
"1175","Increased","College_Degree","Male",30
"1176","Increased","High_School","Male",24
"1177","Decreased","College_Degree","Male",12
"1178","Increased","College_Degree","Male",11
"1179","Increased","College_Degree","Male",3
"1180","Decreased","College_Degree","Male",8
"1181","Stayed about the same","College_Degree","Male",53
"1182","Decreased","High_School","Male",45
"1183",NA,"College_Degree","Male",26
"1184","Decreased","High_School","Male",40
"1185","Increased","High_School","Male",20
"1186","Decreased","College_Degree","Male",8
"1187","Decreased","High_School","Male",12
"1188","Stayed about the same","High_School","Male",25
"1189","Stayed about the same","College_Degree","Male",37
"1190","Stayed about the same","High_School","Male",30
"1191","Stayed about the same","High_School","Male",25
"1192","Increased","College_Degree","Male",15
"1193","Stayed about the same","High_School","Male",40
"1194","Decreased","High_School","Male",30
"1195","Decreased","College_Degree","Male",25
"1196","Increased","High_School","Male",40
"1197","Decreased","College_Degree","Male",25
"1198","Decreased","High_School","Male",6
"1199","Increased","High_School","Male",2
"1200","Increased","College_Degree","Male",6
"1201","Stayed about the same","High_School","Male",4
"1202","Decreased","College_Degree","Female",16
"1203","Stayed about the same","College_Degree","Female",1
"1204","Stayed about the same","High_School","Male",36
"1205","Increased","Advanced_Degree","Male",12
"1206","Decreased","College_Degree","Male",28
"1207","Stayed about the same","High_School","Male",50
"1208","Stayed about the same","College_Degree","Male",3
"1209","Increased","College_Degree","Male",11
"1210","Stayed about the same","College_Degree","Male",47
"1211","Decreased","High_School","Male",3
"1212","Decreased","College_Degree","Male",14
"1213","Stayed about the same","College_Degree","Male",5
"1214","Increased","High_School","Male",13
"1215","Stayed about the same","College_Degree","Male",1
"1216","Stayed about the same","High_School","Male",45
"1217","Stayed about the same","College_Degree","Male",25
"1218","Decreased","High_School","Male",40
"1219","Decreased","College_Degree","Male",60
"1220","Decreased","High_School","Male",30
"1221","Decreased","College_Degree","Male",15
"1222","Increased","High_School","Male",1
"1223","Stayed about the same","College_Degree","Male",20
"1224","Decreased","College_Degree","Male",4
"1225","Increased","High_School","Male",6
"1226","Decreased","College_Degree","Male",36
"1227","Increased","Advanced_Degree","Male",20
"1228","Increased","High_School","Male",10
"1229","Stayed about the same","College_Degree","Male",40
"1230","Stayed about the same","High_School","Male",25
"1231","Decreased","High_School","Male",20
"1232","Stayed about the same","College_Degree","Male",30
"1233","Increased","College_Degree","Male",43
"1234","Stayed about the same","Advanced_Degree","Male",10
"1235","Stayed about the same","High_School","Male",40
"1236","Increased","High_School","Male",2
"1237","Stayed about the same","High_School","Male",35
"1238","Decreased","College_Degree","Male",10
"1239","Increased","College_Degree","Male",40
"1240","Increased","High_School","Male",35
"1241","Stayed about the same","College_Degree","Male",2
"1242","Increased","College_Degree","Male",7
"1243","Stayed about the same","High_School","Male",30
"1244","Decreased","College_Degree","Male",40
"1245","Stayed about the same","High_School","Male",46
"1246","Decreased",NA,"Male",2
"1247","Decreased","College_Degree","Male",48
"1248","Decreased","College_Degree","Male",46
"1249","Increased","College_Degree","Male",25
"1250","Stayed about the same","College_Degree","Male",35
"1251","Decreased","College_Degree","Male",18
"1252","Stayed about the same","College_Degree","Male",45
"1253","Increased","High_School","Male",2
"1254","Decreased","High_School","Male",10
"1255","Stayed about the same","College_Degree","Male",5
"1256","Stayed about the same","College_Degree","Male",2
"1257","Decreased","High_School","Male",10
"1258","Decreased","High_School","Male",30
"1259","Stayed about the same","High_School","Male",55
"1260","Stayed about the same","Advanced_Degree","Male",25
"1261","Increased","High_School","Male",4
"1262","Decreased","College_Degree","Male",3
"1263","Stayed about the same","High_School","Male",21
"1264","Stayed about the same","Advanced_Degree","Male",60
"1265","Increased","Advanced_Degree","Male",5
"1266","Decreased","High_School","Male",10
"1267","Stayed about the same","College_Degree","Male",10
"1268","Stayed about the same","High_School","Male",50
"1269","Decreased","High_School","Male",45
"1270","Stayed about the same","High_School","Male",56
"1271","Decreased","College_Degree","Male",30
"1272","Stayed about the same","High_School","Male",50
"1273","Decreased","College_Degree","Male",32
"1274","Stayed about the same","High_School","Male",12
"1275","Increased","College_Degree","Male",22
"1276","Stayed about the same","Advanced_Degree","Male",10
"1277","Stayed about the same","Advanced_Degree","Male",14
"1278","Stayed about the same","College_Degree","Male",4
"1279","Stayed about the same","High_School","Male",45
"1280","Increased","High_School","Male",10
"1281","Increased","College_Degree","Male",20
"1282","Decreased","High_School","Male",45
"1283","Decreased","High_School","Male",41
"1284","Decreased","High_School","Female",5
"1285","Increased","High_School","Male",18
"1286","Stayed about the same","High_School","Male",20
"1287","Increased","High_School","Male",25
"1288","Decreased","College_Degree","Male",40
"1289","Stayed about the same","High_School","Male",8
"1290","Increased","College_Degree","Male",12
"1291","Stayed about the same","High_School","Male",25
"1292","Decreased","High_School","Male",25
"1293","Stayed about the same","High_School","Male",25
"1294","Increased","High_School","Male",15
"1295","Decreased","College_Degree","Male",34
"1296","Increased","High_School","Male",30
"1297","Decreased","College_Degree","Male",34
"1298","Stayed about the same","College_Degree","Male",50
"1299","Stayed about the same","High_School","Male",45
"1300","Decreased","College_Degree","Male",20
"1301","Increased","College_Degree","Male",40
"1302","Decreased","Advanced_Degree","Male",40
"1303","Decreased","High_School","Male",45
"1304","Increased","College_Degree","Male",1
"1305","Decreased","College_Degree","Male",25
"1306","Stayed about the same","High_School","Male",45
"1307","Increased","High_School","Male",1
"1308","Stayed about the same","High_School","Male",40
"1309","Increased","High_School","Male",13
"1310","Decreased","College_Degree","Male",15
"1311","Increased","College_Degree","Male",51
"1312","Increased","Advanced_Degree","Male",38
"1313","Stayed about the same","High_School","Male",50
"1314","Stayed about the same","College_Degree","Male",15
"1315","Stayed about the same","High_School","Male",38
"1316","Decreased","College_Degree","Male",25
"1317","Decreased","High_School","Male",1
"1318","Decreased","High_School","Male",25
"1319","Increased","College_Degree","Male",30
"1320","Stayed about the same","High_School","Male",20
"1321","Decreased","High_School","Male",8
"1322","Stayed about the same","High_School","Male",46
"1323","Stayed about the same","College_Degree","Male",35
"1324","Decreased","College_Degree","Male",33
"1325","Stayed about the same","High_School","Male",28
"1326","Decreased","High_School","Male",50
"1327","Increased","High_School","Male",53
"1328","Stayed about the same","College_Degree","Male",63
"1329","Decreased","College_Degree","Male",35
"1330","Stayed about the same","College_Degree","Male",38
"1331","Decreased","Advanced_Degree","Female",20
"1332","Increased","College_Degree","Male",20
"1333","Decreased","College_Degree","Male",7
"1334","Decreased","High_School","Male",25
"1335",NA,"High_School","Male",1
"1336","Decreased","High_School","Male",53
"1337","Increased","High_School","Male",15
"1338","Stayed about the same","High_School","Male",1
"1339","Stayed about the same","High_School","Male",4
"1340","Increased","High_School","Male",7
"1341","Decreased","Advanced_Degree","Male",3
"1342","Stayed about the same","High_School","Male",30
"1343","Increased","High_School","Male",30
"1344","Decreased","College_Degree","Male",40
"1345","Stayed about the same","College_Degree","Male",40
"1346","Stayed about the same","High_School","Male",4
"1347","Stayed about the same","High_School","Male",20
"1348","Decreased","College_Degree","Male",40
"1349","Stayed about the same","College_Degree","Male",35
"1350","Stayed about the same","College_Degree","Male",35
"1351","Stayed about the same","High_School","Male",19
"1352","Stayed about the same","Advanced_Degree","Male",40
"1353","Increased","Advanced_Degree","Male",13
"1354","Stayed about the same","High_School","Male",25
"1355","Stayed about the same","High_School","Male",25
"1356","Stayed about the same","College_Degree","Male",20
"1357","Stayed about the same","College_Degree","Female",3
"1358","Stayed about the same","College_Degree","Male",30
"1359","Decreased","High_School","Male",50
"1360","Increased","College_Degree","Male",6
"1361","Stayed about the same","College_Degree","Male",25
"1362","Decreased","Advanced_Degree","Male",50
"1363","Increased","College_Degree","Male",42
"1364","Decreased","High_School","Male",8
"1365","Increased","College_Degree","Male",10
"1366","Increased","College_Degree","Male",25
"1367","Decreased","College_Degree","Male",10
"1368","Stayed about the same","College_Degree","Male",9
"1369","Stayed about the same","High_School","Male",30
"1370","Increased","College_Degree","Male",45
"1371","Stayed about the same","College_Degree","Male",20
"1372","Decreased","College_Degree","Male",25
"1373","Stayed about the same","High_School","Male",2
"1374","Decreased","High_School","Male",3
"1375","Stayed about the same",NA,"Male",6
"1376","Stayed about the same","College_Degree","Female",2
"1377","Decreased","College_Degree","Male",15
"1378","Stayed about the same","High_School","Male",35
"1379","Decreased","College_Degree","Male",12
"1380","Decreased","College_Degree","Male",40
"1381","Decreased",NA,"Male",5
"1382","Increased","High_School","Male",40
"1383","Decreased","Advanced_Degree","Male",35
"1384","Stayed about the same","College_Degree","Male",45
"1385","Increased","Advanced_Degree","Male",5
"1386","Stayed about the same","College_Degree","Male",10
"1387","Decreased","College_Degree","Male",15
"1388","Stayed about the same","College_Degree","Male",16
"1389","Decreased","High_School","Male",45
"1390","Decreased","High_School","Male",13
"1391","Stayed about the same","College_Degree","Male",10
"1392","Decreased","Advanced_Degree","Male",64
"1393","Increased","College_Degree","Male",1
"1394","Increased","College_Degree","Male",13
"1395","Increased","High_School","Male",8
"1396","Decreased","College_Degree","Male",55
"1397","Increased","High_School","Male",22
"1398","Decreased","High_School","Male",43
"1399","Stayed about the same","High_School","Male",20
"1400","Decreased","High_School","Male",99
"1401","Decreased","High_School","Male",30
"1402","Increased","College_Degree","Male",2
"1403","Decreased","High_School","Male",30
"1404","Decreased","Advanced_Degree","Male",20
"1405","Stayed about the same","High_School","Male",16
"1406","Decreased","College_Degree","Male",35
"1407","Stayed about the same","College_Degree","Male",3
"1408","Decreased","High_School","Male",20
"1409","Stayed about the same","High_School","Male",33
